_assetFileNameInAEM;_assetFilePathInLocal;_assetFileSizeInLocal;_assetFolderNameInAEM;_assetUploadedAt;_isAssetUploaded
desktop.ini;C:\Users\odgar\Pictures\Camera Roll\desktop.ini;190;;;true
WIN_20250511_22_05_09_Pro.jpg;C:\Users\odgar\Pictures\Camera Roll\WIN_20250511_22_05_09_Pro.jpg;162541;;;false
